Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value,PE Ratio (5y Median),EV to EBITDA (5y Median),PS Ratio (5y Median),Price to Book Value (5y Median),Return on Equity (5y Median),Return on Assets (5y Median)
CRD.B,Crawford & Co,Financial Services,Insurance Brokers,308.3786,520.7686,14.9333,5.2223,0.2586,1.8690,8.7353,4.7740,0.3123,2.4834,0.311469,0.049727
CRIS,Curis,Healthcare,Biotechnology,329.9744,262.0325,None,-4.4039,37.2558,4.3422,None,None,17.2876,6.4411,-0.400982,-0.275927
CRMD,Cormedix,Healthcare,Biotechnology,81.3660,43.5148,None,-2.9340,292.6833,2.2359,None,None,None,None,None,None
CRMT,America's Car-Mart,Consumer Cyclical,Auto & Truck Dealerships,266.9152,373.6692,11.2368,9.1431,0.4479,1.1480,13.5772,8.8808,0.8787,1.8603,0.156271,0.098327
CROX,Crocs,Consumer Cyclical,Footwear & Accessories,781.5241,620.7911,None,11.2564,0.7183,2.3462,None,10.0993,1.1717,2.3253,0.186854,0.129918
CRR,Carbo Ceramics,Energy,Oil & Gas Equipment & Services,389.3419,386.6479,None,-11.8241,1.4566,0.5546,25.3696,12.6988,3.2691,2.9723,0.128406,0.112591
CRS,Carpenter Technology,Industrials,Metal Fabrication,1626.8975,2207.2975,21.1224,7.4798,0.8051,1.2738,23.3105,10.4903,1.2455,2.2832,0.10914,0.047552
CRUS,Cirrus Logic,Technology,Semiconductors,1844.6130,1862.2590,12.1426,6.2492,1.4406,2.2253,13.8428,10.5722,2.4319,2.5585,0.226241,0.18923
CRVL,CorVel,Financial Services,Insurance Brokers,778.5347,753.6477,27.3633,None,1.6706,6.1014,23.2856,9.9891,1.4803,5.3622,0.24572,0.157798
CRWN,Crown Media Holdings,Communication Services,Pay TV,2089.7170,2366.4080,None,None,None,3.8771,10.6055,4.9097,2.2700,None,0.217827,0.106041
CRY,Cryolife,Healthcare,Medical Devices,293.0855,254.5885,114.4444,None,1.9965,1.9296,21.6580,9.4662,1.3647,1.3882,0.062746,0.05146
CRZO,Carrizo Oil & Gas,Energy,Oil & Gas E&P,2169.7421,3579.9591,40.1554,7.8503,3.6068,3.7514,None,7.9894,3.7071,2.1389,0.081606,0.029399
CSBK,Clifton Bancorp,Financial Services,Savings & Cooperative Banks,374.5937,480.7247,None,None,None,1.1074,41.3859,None,11.6846,1.4624,0.03519,0.006995
CSCD,Cascade Microtech,Technology,Semiconductor Equipment & Materials,253.0602,211.9412,20.3753,8.3622,1.7809,2.2577,None,9.9463,0.9380,1.5018,0.095838,0.072537
CSFL,Centerstate Banks,Financial Services,Banks - Regional - US,730.2305,711.6555,18.7464,12.4961,3.6649,1.5219,None,None,2.0769,0.9779,0.036135,0.004058
CSG,Chambers Street Props,Real Estate,REIT - Office,1724.3095,3009.1375,10.2061,14.8320,6.0571,1.3545,None,None,None,None,None,None
CSGS,CSG Systems International,Technology,Software - Infrastructure,1168.5336,1253.6086,16.3196,7.0821,1.5664,3.4996,17.4682,7.3369,1.1066,2.4055,0.146498,0.052153
CSH,Cash America Intl,Financial Services,Credit Services,834.8006,954.8746,32.2692,8.3864,0.8132,0.8151,5.4025,3.9683,0.4868,0.6155,0.133672,0.070642
CSII,Cardiovascular Systems,Healthcare,Medical Devices,474.4898,396.0448,None,-12.1300,2.5453,3.6328,None,None,3.6655,7.5099,-0.547482,-0.27372
CSLT,Castlight Health,Technology,Software - Application,396.5600,249.3640,None,-3.9605,5.3753,3.0077,None,None,None,None,None,None
CSOD,Cornerstone OnDemand,Technology,Software - Application,1868.4471,1884.7221,None,399.3055,5.4704,184.8666,None,None,9.9300,42.4217,-0.864409,-0.185754
CSS,CSS Industries,Consumer Cyclical,Specialty Retail,260.8124,208.1384,None,None,None,0.9819,15.4604,5.0155,0.6761,0.8980,0.062064,0.05123
CSU,Capital Senior Living,Healthcare,Long-Term Care Facilities,655.9100,1332.9650,None,16.8580,1.5898,4.6974,None,18.1756,1.6418,3.9246,-0.035648,-0.010133
CSV,Carriage Services,Consumer Cyclical,Personal Services,424.6291,723.0391,16.0835,10.2602,1.7431,2.5112,20.4740,12.0936,1.5620,1.9331,0.089911,0.017775
CTB,Cooper Tire & Rubber,Consumer Cyclical,Rubber & Plastics,2287.2536,2216.8786,12.1354,4.9613,0.7723,2.4689,9.8234,4.4209,0.4428,2.0245,0.258365,0.076594
CTBI,Community Trust Bancorp,Financial Services,Banks - Regional - US,632.9723,528.9693,13.7901,None,3.5308,1.3451,13.0183,None,3.1012,1.3331,0.108089,0.011917
CTCT,Constant Contact,Consumer Cyclical,Marketing Services,987.7533,807.2393,37.2771,10.9590,2.6622,3.4847,76.0191,21.7525,2.9470,3.7850,0.059304,0.046694
CTIC,CTI Biopharma,Healthcare,Biotechnology,278.0687,279.1257,None,None,7.0954,None,None,None,None,None,-6.968458,-1.260684
CTLT,Catalent,Healthcare,Drug Manufacturers - Specialty & Generic,3431.8236,5164.3236,16.5139,11.7162,1.8426,5.7465,None,None,None,None,None,None
CTO,Consolidated-Tomoka Land,Real Estate,Real Estate - General,320.5220,471.3507,168.5000,None,17.9063,2.4416,None,None,10.8666,1.8128,0.004561,0.002924
CTRE,CareTrust REIT,Real Estate,REIT - Healthcare Facilities,519.0387,907.6367,11.7596,14.8258,7.4904,1.9619,None,None,None,None,None,None
CTRL,Control4,Technology,Electronic Components,171.2915,109.6835,142.8000,9.9441,1.0500,1.4504,None,None,None,None,None,None
CTRN,Citi Trends,Consumer Cyclical,Apparel Stores,371.6952,292.5372,20.9649,6.5445,0.5276,1.6654,None,8.8193,0.3829,1.2691,0.019745,0.01337
CTS,CTS,Technology,Electronic Components,609.6741,549.4191,19.1590,8.5847,1.5835,2.0625,18.3923,9.2211,1.3840,1.4991,0.073167,0.040345
CTT,CatchMark Timber Trust,Real Estate,REIT - Diversified,446.6604,573.2904,14.6923,18.5801,6.6467,1.0637,None,None,None,None,-0.057548,-0.026502
CTWS,Connecticut Water Service,Utilities,Utilities - Regulated Water,402.4078,591.7118,17.3865,13.5496,4.0861,1.8106,19.5342,14.8137,3.5970,1.9060,0.100335,0.027903
CUB,Cubic,Industrials,Aerospace & Defense,1225.5914,1182.8444,14.4044,8.6065,0.8370,1.5907,17.6323,8.5908,0.9514,1.8944,0.142506,0.084165
CUBE,CubeSmart,Real Estate,REIT - Industrial,5041.2389,6228.1989,23.7561,24.4728,11.6005,3.2649,None,19.9451,7.0478,2.1180,0.009565,0.004507
CUBI,Customers Bancorp,Financial Services,Banks - Regional - US,816.9561,1673.2761,15.0819,None,3.7538,1.6935,None,None,None,None,None,None
CUDA,Barracuda Networks,Technology,Communication Equipment,952.2403,739.0013,1784.0000,10.7732,2.9588,None,None,None,None,None,None,None
CUNB,CU Bancorp,Financial Services,Banks - Regional - US,462.6625,119.1575,21.9475,None,4.7131,1.6429,None,None,None,None,None,None
CUTR,Cutera,Healthcare,Medical Devices,172.0797,124.3357,None,-98.6791,1.8267,3.4881,None,None,1.9537,1.5066,-0.109864,-0.088626
CUZ,Cousins Properties,Real Estate,REIT - Diversified,2088.7469,2862.9859,11.2395,14.5783,5.4981,1.2488,None,None,6.1066,1.5676,0.033664,0.021272
CVBF,CVB Financial,Financial Services,Banks - Regional - US,1937.9612,1622.3192,19.8475,None,6.6460,2.1048,15.2077,None,4.8398,1.6921,0.107464,0.012539
CVCO,Cavco Industries,Consumer Cyclical,Residential Construction,814.8550,777.5120,None,None,None,2.4316,39.7510,14.2260,1.0775,1.9694,0.070058,0.036885
CVEO,Civeo,Industrials,Business Services,211.7068,615.5598,None,5.1887,0.4055,0.3719,None,None,None,None,None,None
CVG,Convergys,Industrials,Business Services,2500.7410,2644.9410,14.9070,7.1274,0.8466,1.9960,None,None,0.9175,1.4251,0.081573,0.050741
CVGI,Commercial Vehicle Group,Consumer Cyclical,Auto Parts,107.6864,247.5374,9.4474,3.6623,0.1301,1.6410,None,9.6053,0.2811,3.8238,0.194561,0.028027
CVGW,Calavo Growers,Consumer Defensive,Farm Products,940.0889,971.2569,25.3101,14.9321,0.9514,4.7360,None,None,0.7257,3.8382,0.117077,0.067927
CVLT,CommVault Systems,Technology,Software - Application,1839.9782,1439.9682,None,21.1760,3.1148,4.5504,70.5473,33.6939,5.6008,8.5768,0.149232,0.083652
CVRS,Corindus Vascular,Healthcare,Medical Devices,356.8963,315.1643,None,None,None,8.3065,None,None,None,None,None,None
CVT,Cvent,Technology,Software - Application,1509.4258,1350.8458,3598.0000,56.5918,8.0584,8.4054,None,None,None,None,None,None
CVTI,Covenant Transportation,Industrials,Trucking,375.0335,582.4485,10.7896,4.5862,0.5006,1.9326,None,4.5431,0.1767,1.2147,0.043677,0.009968
CW,Curtiss-Wright,Industrials,Diversified Industrials,3244.3551,3955.3351,18.3596,9.4313,1.4654,2.4577,17.3744,9.2762,0.8777,1.4374,0.094571,0.042624
CWCO,Consolidated Water Co,Utilities,Utilities - Regulated Water,174.5020,138.6644,23.4257,9.8905,2.9602,1.2099,21.5838,14.6323,2.5376,1.1184,0.049701,0.041904
CWEI,Clayton Williams Energy,Energy,Oil & Gas E&P,703.3971,1444.3981,None,12.5332,2.9045,2.0282,None,6.6768,1.8879,2.1799,0.087692,0.022074
CWST,Casella Waste Systems,Industrials,Waste Management,285.1303,814.7833,None,7.7561,0.5307,None,None,8.9135,0.3565,None,-1.082194,-0.037249
CWT,California Water Service,Utilities,Utilities - Regulated Water,1043.2202,1552.0222,21.0735,9.1117,1.7902,1.6279,20.1475,10.9387,1.6420,1.7456,0.088951,0.023491
CYNO,Cynosure,Healthcare,Medical Devices,913.8004,793.9664,38.3683,16.4946,2.7504,2.3438,None,19.5327,2.1536,1.7872,0.01505,0.011824
CYS,CYS Investments,Real Estate,REIT - Diversified,1176.5058,3514.5208,6.7682,None,6.3871,0.7875,None,None,None,0.9021,0.138621,0.015313
CYTK,Cytokinetics,Healthcare,Biotechnology,466.5561,368.5711,None,-13.2580,13.6476,6.9325,None,None,13.0058,2.0472,-0.622076,-0.565041
CYTR,CytRx,Healthcare,Biotechnology,199.4403,128.6382,None,-5.8472,19.5530,3.1400,None,None,None,3.2760,None,-0.426447
CZNC,Citizens and Northern,Financial Services,Banks - Regional - US,249.2453,290.1103,10.5490,None,3.7217,1.3111,11.2490,None,3.7611,1.3086,0.119587,0.015567
CZR,Caesars Entertainment,Consumer Cyclical,Resorts & Casinos,1070.8723,7645.8723,None,6.5383,0.1198,1.0179,None,None,None,None,-0.544403,-0.03783
DAKT,Daktronics,Technology,Computer Systems,441.1986,380.6006,18.6667,7.3475,0.7102,2.0790,25.9994,8.8840,0.8911,2.3158,0.094233,0.05409
DAN,Dana Holding,Consumer Cyclical,Auto Parts,2412.7020,3145.7020,8.7303,4.6606,0.3967,2.5397,None,5.4138,0.4924,2.6933,0.248562,0.052137
DAR,Darling Ingredients,Industrials,Waste Management,1632.4357,3610.5637,152.4615,8.2442,0.4738,0.8998,20.4736,8.3897,1.1414,1.8540,0.124045,0.075977
DBD,Diebold,Technology,Computer Systems,2274.1915,2700.7915,19.5804,11.5148,0.7986,5.6656,None,14.5108,0.7397,2.8594,0.04398,0.012323
DCO,Ducommun,Industrials,Aerospace & Defense,171.9035,419.6975,18.2471,8.5740,0.2563,0.6891,None,7.5030,0.3650,0.9484,0.049995,0.016918
DCOM,Dime Community Bancshares,Financial Services,Savings & Cooperative Banks,685.9599,1681.6119,15.3891,None,5.0812,1.4176,12.3948,None,3.7884,1.3193,0.105657,0.010477
DCT,DCT Industrial Trust,Real Estate,REIT - Industrial,3358.9579,4994.3599,19.4597,20.9976,9.4656,1.9344,None,19.5325,7.4491,1.5329,-0.002694,-0.001166
DEA,Easterly Government Props,Real Estate,REIT - Office,433.5811,793.5581,None,None,None,1.1348,None,None,None,None,None,None
DECK,Deckers Outdoor,Consumer Cyclical,Footwear & Accessories,1655.0853,1905.0543,9.8003,6.1812,0.8977,1.9145,18.1997,9.6510,1.6915,2.9944,0.176569,0.129092
DEL,Deltic Timber,Basic Materials,Lumber & Wood Production,775.9737,984.4947,34.1148,None,4.4676,2.9924,61.3133,22.9466,4.8699,3.1593,0.050554,0.030447
DENN,Denny's,Consumer Cyclical,Restaurants,782.1114,923.5104,23.3021,10.4968,1.5922,None,22.0625,9.2888,1.1504,None,-0.203352,0.087083
DEPO,DepoMed,Healthcare,Drug Manufacturers - Specialty & Generic,1082.6171,1712.7421,None,None,3.1367,3.1687,None,None,3.8463,3.8362,0.304409,0.125833
DERM,Dermira,Healthcare,Biotechnology,847.8988,634.8308,None,None,None,3.9482,None,None,None,None,None,None
DF,Dean Foods,Consumer Defensive,Packaged Foods,1723.9141,2500.9131,15.4888,6.2408,0.2107,3.2159,None,None,0.1615,None,-0.022364,0.003302
DFRG,Del Frisco's Restaurant,Consumer Cyclical,Restaurants,326.5339,340.3949,17.4406,7.8704,0.9805,1.4955,None,None,None,None,None,None
DFT,Dupont Fabros Technology,Real Estate,REIT - Office,2143.3907,3639.8787,13.3006,13.5241,4.8590,2.6364,43.5882,13.5574,4.7877,1.7763,0.066877,0.02374
DGI,DigitalGlobe,Industrials,Aerospace & Defense,1176.7286,2163.0286,87.6891,6.4523,1.6958,0.9205,None,10.6014,3.2756,1.7079,-0.003089,-0.001222
DGICA,Donegal Group,Financial Services,Insurance - Property & Casualty,391.3683,394.8444,13.2762,None,None,0.8863,20.3640,None,0.7086,0.9416,0.047706,0.0135
DGII,Digi International,Technology,Communication Equipment,312.3162,220.1072,35.7143,9.9981,1.4483,1.1360,35.3119,9.7292,1.3348,0.9455,0.025282,0.023204
DHIL,Diamond Hill Investment,Financial Services,Asset Management,702.5037,644.4053,34.6504,None,9.5553,6.5019,16.2356,None,3.8135,7.7987,0.559632,0.372696
DHT,DHT Holdings,Industrials,Shipping & Ports,675.0239,1138.7319,7.2824,5.3214,2.2870,0.9368,None,None,1.6189,0.8673,-0.015446,-0.008309
DHX,DHI Group,Industrials,Staffing & Outsourcing Services,488.6950,556.4090,21.3333,8.6105,1.8783,2.8115,18.6988,8.0356,2.8448,2.7463,0.157975,0.080267
DIN,DineEquity,Consumer Cyclical,Restaurants,1569.6945,2763.8085,14.2598,9.9181,2.3134,5.7016,None,10.6029,1.7534,5.7522,0.24042,0.029777
DIOD,Diodes,Technology,Semiconductors,988.8248,917.0058,26.7763,5.9238,1.1849,1.2212,24.8559,16.6644,1.4701,1.6101,0.062727,0.041503
DJCO,Daily Journal,Consumer Cyclical,Publishing,253.7312,89.0142,None,None,None,1.8363,37.9186,3.5053,4.4480,1.6387,0.050883,0.033879
DK,Delek US Holdings,Energy,Oil & Gas Refining & Marketing,1726.1249,2410.5249,13.2775,7.8527,0.2999,1.4160,None,5.0220,0.1952,1.7468,0.168593,0.057283
DLX,Deluxe,Industrials,Business Services,2881.8251,3337.4411,12.8965,7.6793,1.6270,4.0021,11.5840,7.0526,1.3084,4.4482,0.424796,0.120234
DMND,Diamond Foods,Consumer Defensive,Packaged Foods,1311.6626,1941.2316,32.5391,14.3317,1.5157,4.2507,None,None,0.8181,2.9995,-0.183712,-0.04736
DMRC,Digimarc,Technology,Information Technology Services,312.0788,269.0918,None,-25.3860,13.7117,5.5857,None,None,6.1881,4.2486,0.051896,0.047568
DOC,Physicians Realty Trust,Real Estate,REIT - Healthcare Facilities,1389.4452,1998.0082,17.2008,23.0291,10.9220,1.7127,None,None,None,None,None,None
DOOR,Masonite International,Basic Materials,Building Materials,1924.7199,2349.6549,46.3358,12.0647,1.0416,3.0253,None,None,None,None,None,None
DORM,Dorman Products,Consumer Cyclical,Auto Parts,1682.5862,1603.2652,18.0571,9.7321,2.1289,3.1984,18.1015,10.4475,2.2170,3.4713,0.201577,0.164045
DPLO,Diplomat Pharmacy,Healthcare,Drug Manufacturers - Specialty & Generic,2267.2231,2395.6511,48.2603,25.3224,0.6744,4.5511,None,None,None,None,None,None
DRH,Diamondrock Hospitality,Real Estate,REIT - Hotel & Motel,2180.0559,3174.2769,10.6995,11.8596,2.3357,1.1960,None,18.1319,2.7500,1.2590,0.007129,0.003925
DRII,Diamond Resorts Intl,Consumer Cyclical,Resorts & Casinos,1931.9889,2632.3569,16.2840,7.3530,2.0729,6.3004,None,None,None,None,None,None
DRNA,Dicerna Pharmaceuticals,Healthcare,Biotechnology,226.7300,132.6910,None,None,222.2843,2.1742,None,None,None,None,None,None
DRRX,Durect,Healthcare,Drug Manufacturers - Specialty & Generic,274.7975,262.2535,None,None,14.4402,15.9645,None,None,7.5223,6.7230,-0.762715,-0.456712
DSPG,DSP,Technology,Semiconductors,217.9380,187.7440,67.1333,196.5905,1.4481,1.5070,None,None,1.0371,1.1688,-0.014807,-0.01136
DTLK,Datalink,Technology,Data Storage,170.4555,145.0165,26.1786,None,0.2260,1.0268,20.5276,7.4987,0.3617,1.7880,0.091691,0.029047
DTSI,DTS,Technology,Software - Application,432.9611,362.4001,40.4516,10.9574,3.2779,2.0157,None,None,3.7711,2.3772,0.100561,0.090609
DV,DeVry Education Group,Consumer Defensive,Education & Training Services,1470.1042,1033.9052,9.5478,3.4882,0.8022,0.9525,13.6047,5.9175,1.1768,1.6059,0.102968,0.073467
DVAX,Dynavax Technologies,Healthcare,Biotechnology,966.0120,745.3150,None,-6.9656,202.3062,4.5742,None,None,29.1041,5.1467,-0.70461,-0.535688
DW,Drew Industries,Consumer Cyclical,Recreational Vehicles,1442.7773,1527.3543,19.0287,None,1.0271,3.4547,20.0161,9.2359,0.9450,2.8606,0.126499,0.09531
DWA,Dreamworks Animation SKG,Consumer Cyclical,Media - Diversified,2112.6141,2463.6871,None,17.7755,2.4272,1.9595,None,6.9816,2.6567,1.4460,-0.008181,-0.004886
DWRE,Demandware,Technology,Software - Application,1866.2008,1682.8478,None,112.8822,7.9742,6.7579,None,None,None,None,-0.10847,-0.083758
DX,Dynex Capital,Real Estate,REIT - Residential,330.9060,691.5090,7.4225,None,4.3143,0.7914,8.0535,None,6.3983,0.9582,0.115446,0.016809
DXLG,Destination XL Group,Consumer Cyclical,Apparel Stores,244.2484,302.3724,None,13.0229,0.5502,2.6312,None,16.7941,0.5708,1.9623,0.034682,0.022526
DXPE,DXP Enterprises,Industrials,Industrial Distribution,447.0765,819.7335,18.0000,9.4964,0.3550,2.2359,None,10.2037,0.7041,3.2397,0.216657,0.084417
DY,Dycom Industries,Industrials,Engineering & Construction,2858.6714,3362.9734,26.2794,10.0312,1.1770,5.6362,26.8267,7.6740,0.5867,1.9807,0.087221,0.037018
DYAX,Dyax,Healthcare,Biotechnology,5052.3755,4743.9905,None,None,51.2500,16.0664,None,None,7.4718,None,0.60904,-0.361673
DYN,Dynegy,Utilities,Utilities - Independent Power Producers,1966.2341,8641.2341,23.6377,9.7202,0.4855,0.7068,None,None,None,0.8873,-0.170419,-0.054409
EBF,Ennis,Industrials,Business Equipment,516.2200,560.3690,None,None,None,1.7602,None,None,0.7536,1.1645,0.067338,0.048036
EBIX,Ebix,Technology,Software - Application,1239.5902,1392.4892,16.4619,14.3530,4.7290,3.0977,10.9396,8.5109,4.1008,1.9581,0.195317,0.138116
EBS,Emergent BioSolutions,Healthcare,Biotechnology,1469.7164,1413.9984,24.9934,28.2800,2.8129,2.4280,27.2442,11.6732,2.4272,1.7240,0.070543,0.047733
EBSB,Meridian Bancorp,Financial Services,Savings & Cooperative Banks,809.9429,756.9199,35.0238,None,7.4616,1.3890,57.7491,None,9.6820,3.3223,0.057219,0.00682
EBTC,Enterprise Bancorp,Financial Services,Savings & Cooperative Banks,248.5580,231.7620,None,None,None,1.4066,14.0812,None,2.3191,1.2348,0.091804,0.007583
ECHO,Echo Global Logistics,Industrials,Integrated Shipping & Logistics,729.3595,881.5721,29.8354,13.3333,0.4771,1.8725,33.3786,12.8175,0.5776,3.0256,0.09539,0.059382
ECOL,US Ecology,Industrials,Waste Management,799.8590,1150.4240,21.1494,8.9560,1.4679,3.1715,21.2806,10.4653,2.5446,3.7059,0.187926,0.091552
ECOM,ChannelAdvisor,Technology,Software - Application,335.9906,277.0066,None,-86.7000,3.4402,4.1062,None,None,None,None,None,None
ECPG,Encore Capital Group,Financial Services,Asset Management,816.8492,3751.4592,6.2394,3.7961,0.7080,1.3135,11.8811,9.8847,1.3802,1.7824,0.175077,0.062225
ECR,Eclipse Resources,Energy,Oil & Gas E&P,525.5113,836.4443,None,8.2239,2.0541,0.3667,None,None,None,None,None,None
ECYT,Endocyte,Healthcare,Biotechnology,201.4824,29.3551,None,None,6716.0800,1.1233,None,None,None,3.0866,-0.167583,-0.131255
EDE,Empire District Electric,Utilities,Utilities - Regulated Electric,992.2180,1866.2650,16.2635,8.8114,1.4769,1.2365,16.2633,9.8195,1.6161,1.2999,0.079932,0.027409
EDR,Education Realty Trust,Real Estate,REIT - Residential,1772.6350,2655.7260,19.9749,23.6217,7.4888,1.8623,None,26.1727,6.3598,1.6018,0.007837,0.004242
EE,El Paso Electric,Utilities,Utilities - Regulated Electric,1558.4493,2798.8273,19.4451,11.2403,2.4737,1.5267,14.9641,7.5893,1.5846,1.5835,0.114143,0.035913
EEFT,Euronet Worldwide,Industrials,Business Services,4132.0031,4066.3301,25.4026,14.1758,2.2865,5.1903,None,12.3759,1.2175,2.9324,0.075648,0.028262
EFII,Electronics for Imaging,Technology,Computer Systems,2313.1524,2095.4904,64.6533,16.2441,2.6437,2.8093,23.3722,12.1797,1.9627,1.9045,0.055777,0.042582
EFSC,Enterprise Financial,Financial Services,Banks - Regional - US,585.0837,783.7297,15.9090,None,4.2066,1.7030,11.6400,None,2.0601,1.2118,0.127506,0.008679
EGBN,Eagle Bancorp,Financial Services,Banks - Regional - US,1781.1137,1621.0347,21.5466,None,6.9249,2.4940,16.7811,None,3.7547,1.9114,0.136623,0.01282
EGHT,8x8,Communication Services,Telecom Services,1059.8201,910.6731,1187.0000,48.6601,5.1629,3.9588,None,33.5772,4.6896,3.5785,0.082643,0.074527
EGL,Engility Holdings,Industrials,Staffing & Outsourcing Services,1224.3642,2309.1292,15.2890,11.0854,0.5849,1.3152,None,None,None,None,None,None
EGLE,Eagle Bulk Shipping,Industrials,Shipping & Ports,108.5792,310.4601,None,2.3419,0.4459,0.1819,None,None,0.3488,0.1355,-0.12126,-0.040075
EGOV,NIC,Technology,Software - Application,1306.4723,1184.0293,31.4385,15.3800,4.4665,9.1850,36.0390,17.5680,4.5565,11.3494,0.344469,0.189653
EGP,EastGroup Properties,Real Estate,REIT - Industrial,1884.5920,2867.4740,15.8220,18.8691,8.0752,3.3804,54.6768,19.3736,8.2279,3.4342,0.068005,0.023583
EGRX,Eagle Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,1287.5616,1191.5826,111.6081,238.7941,17.7167,14.6933,None,None,None,None,None,None
EHTH,eHealth,Financial Services,Insurance Brokers,223.0264,161.0104,78.5578,14.9499,1.2331,2.5702,None,None,2.3262,2.7549,0.041216,0.035699
EIG,Employers Holdings,Financial Services,Insurance - Specialty,868.6831,886.1831,14.0311,20.4472,1.1491,1.1965,9.5837,None,1.1737,1.2012,0.126443,0.020789
EIGI,Endurance Intl Gr Hldgs,Technology,Software - Application,1897.4472,2962.2852,13.0660,11.0323,2.5249,10.6587,None,None,None,None,None,None
ELGX,Endologix,Healthcare,Medical Instruments & Supplies,642.6445,647.4015,None,-17.4973,4.1521,6.4842,None,None,7.2735,8.5747,-0.233162,-0.120346
ELLI,Ellie Mae,Technology,Software - Application,1891.0130,1780.6630,93.2500,27.1128,7.5507,6.4412,None,29.3833,6.1500,None,0.081516,0.064667
ELNK,EarthLink Holdings,Communication Services,Telecom Services,944.0447,1380.3217,None,5.7190,0.8643,25.4281,None,None,0.5255,1.1989,-0.367889,-0.055846
ELRC,Electro Rent,Industrials,Rental & Leasing Services,248.0328,239.2838,None,None,None,1.0900,17.5568,4.1235,1.6096,1.6051,0.094081,0.069585
ELY,Callaway Golf,Consumer Cyclical,Leisure,899.2310,884.3400,69.7837,20.2366,1.0724,2.1609,None,None,0.6183,1.4179,-0.086034,-0.043256
EMCI,EMC Insurance,Financial Services,Insurance - Property & Casualty,541.4784,533.1104,12.6087,None,None,1.0414,10.7836,None,0.6763,0.8410,0.082072,0.026226
EME,EMCOR Group,Industrials,Engineering & Construction,3111.1104,2991.3194,18.4387,8.3745,0.4666,2.0599,None,7.8325,0.4190,1.8357,0.108415,0.045993
EMKR,Emcore,Technology,Semiconductors,186.6165,72.4875,146.0000,7.6319,2.0021,1.3979,None,None,0.8334,1.3557,-0.150462,-0.092874
ENOC,EnerNOC,Industrials,Business Services,123.7903,124.0253,None,-3.3519,0.3127,0.5162,None,None,1.1910,1.6677,-0.02882,-0.017139
ENPH,Enphase Energy,Technology,Semiconductor Equipment & Materials,76.6133,71.1223,None,-9.2423,0.2140,1.4465,None,None,None,None,-0.197326,-0.267267
ENS,EnerSys,Technology,Electronic Components,2634.4764,2987.0184,14.9848,9.1486,1.1518,2.6102,15.9299,8.5823,1.0121,2.0334,0.141438,0.077502
ENSG,Ensign Group,Healthcare,Long-Term Care Facilities,1201.5725,1225.4265,18.3867,9.0826,0.9100,2.9122,18.6793,7.6051,0.8773,2.5248,0.151146,0.075322
ENT,Global Eagle,Consumer Cyclical,Media - Diversified,822.1096,676.3236,None,13.6273,1.9483,2.3345,None,None,None,None,None,None
ENTA,Enanta Pharmaceuticals,Healthcare,Biotechnology,596.6023,442.3163,15.8080,3.8462,5.2572,2.6134,None,None,None,None,None,None
ENTG,Entegris,Technology,Semiconductor Equipment & Materials,1841.3543,2205.2453,16.2733,6.8063,1.7180,2.3910,19.7592,7.6083,1.8038,2.0990,0.101781,0.087628
ENTL,Entellus Medical,Healthcare,Medical Instruments & Supplies,308.5039,254.5739,None,None,5.0716,5.0096,None,None,None,None,None,None
ENV,Envestnet,Industrials,Business Services,1123.7835,1064.7105,42.5543,15.0566,2.6967,4.5391,146.0954,33.5475,3.5382,4.6575,0.049637,0.029219
ENVA,Enova International,Financial Services,Credit Services,243.8700,704.2500,5.2411,4.6217,0.3763,1.2238,None,None,None,None,None,None
EPAM,EPAM Systems,Technology,Information Technology Services,3850.2964,3650.8534,42.6468,21.1828,4.2551,6.7211,None,None,None,None,0.193268,0.165177
EPAY,Bottomline Technologies,Technology,Software - Application,1187.2827,1221.6127,37.8911,16.0633,3.3229,3.6475,None,29.7228,3.7684,2.9199,-0.032548,-0.021463
EPIQ,Epiq Systems,Technology,Information Technology Services,484.2928,870.6378,None,8.2607,0.9179,1.6124,None,9.7464,1.2823,1.4588,0.03862,0.021088
EPM,Evolution Petroleum,Energy,Oil & Gas E&P,192.7548,176.4379,21.4545,10.8980,5.7003,3.7023,None,None,17.2313,5.6352,0.094104,0.075225
EPR,EPR Properties,Real Estate,REIT - Retail,3367.7636,5391.1206,12.7008,15.8316,9.8092,1.6936,21.3039,None,9.6496,1.5597,0.095117,0.048287
EPZM,Epizyme,Healthcare,Biotechnology,618.0429,388.1049,None,None,233.1358,3.2605,None,None,None,None,None,None
EQY,Equity One,Real Estate,REIT - Retail,3510.5390,4976.2870,20.6160,21.2169,9.7201,2.2296,64.5023,20.7237,8.0750,1.8745,0.028291,0.011796
ERA,Era Group,Industrials,Airports & Air Services,234.5006,488.2346,24.6022,7.2438,0.8410,0.4943,None,None,None,None,0.036645,0.01568
ERI,Eldorado Resorts,Consumer Cyclical,Resorts & Casinos,410.1067,1152.0127,None,None,None,2.6171,None,None,None,None,None,None
ERN,Erin Energy,Energy,Oil & Gas E&P,863.1758,1090.5828,None,None,None,3.5472,None,None,None,1.0166,-0.201082,-0.174852
EROS,Eros International,Consumer Cyclical,Media - Diversified,542.3343,767.4633,14.2048,6.9580,1.8631,0.7439,None,None,None,None,None,None
